client_id,age,sex,city_type,education_level,household_size,residence_type,marital_status,dependents_count
1,45,F,urban,university,7,rented,senior_family,6
2,43,F,urban,secondary,5,owned,mid_family,4
3,25,M,urban,technical,6,rented,young_family,5
4,24,M,rural,primary,7,family,single,6
5,49,M,urban,technical,7,owned,senior_family,6
6,61,F,rural,primary,5,rented,pre_mature,4
7,66,M,rural,secondary,1,owned,mature,0
8,62,M,urban,primary,6,owned,pre_mature,5
9,43,M,urban,university,7,rented,mid_family,6
10,33,M,rural,secondary,4,rented,young_family,3
11,41,M,rural,university,1,owned,mid_family,0
12,27,F,urban,technical,7,other,young_family,6
13,47,F,urban,secondary,5,rented,senior_family,4
14,26,M,rural,university,4,owned,young_family,3
15,61,M,urban,primary,6,other,pre_mature,5
16,23,F,urban,university,2,family,single,1
17,41,F,rural,primary,3,family,mid_family,2
18,34,F,urban,secondary,5,owned,young_family,4
19,53,M,urban,university,2,owned,senior_family,1
20,58,M,rural,secondary,7,owned,pre_mature,6
21,40,F,urban,technical,6,family,mid_family,5
22,34,M,urban,secondary,3,family,young_family,2
23,70,M,urban,secondary,7,owned,mature,6
24,65,M,urban,technical,3,rented,mature,2
25,66,M,urban,secondary,2,owned,mature,1
26,37,M,rural,technical,6,owned,mid_family,5
27,20,F,urban,primary,6,owned,single,5
28,58,M,rural,primary,7,rented,pre_mature,6
29,29,M,urban,university,5,owned,young_family,4
30,30,M,rural,secondary,3,owned,young_family,2
31,63,F,rural,secondary,3,rented,pre_mature,2
32,24,F,urban,primary,5,rented,single,4
33,65,M,urban,none,5,owned,mature,4
34,31,M,urban,secondary,1,owned,young_family,0
35,36,F,rural,primary,2,rented,mid_family,1
36,53,M,urban,secondary,4,rented,senior_family,3
37,57,M,urban,secondary,4,owned,pre_mature,3
38,55,M,urban,secondary,4,family,pre_mature,3
39,46,M,urban,technical,7,rented,senior_family,6
40,53,F,urban,secondary,1,rented,senior_family,0
41,39,M,urban,secondary,1,rented,mid_family,0
42,42,M,rural,primary,6,owned,mid_family,5
43,24,F,urban,primary,2,owned,single,1
44,49,M,rural,technical,5,family,senior_family,4
45,37,F,urban,technical,2,rented,mid_family,1
46,71,M,rural,primary,3,other,mature,2
47,72,M,rural,university,5,rented,mature,4
48,22,F,rural,university,7,rented,single,6
49,54,M,urban,technical,3,family,senior_family,2
50,22,M,urban,primary,2,rented,single,1
51,38,F,rural,primary,1,rented,mid_family,0
52,46,M,urban,secondary,3,owned,senior_family,2
53,34,M,urban,primary,5,rented,young_family,4
54,63,F,rural,secondary,3,rented,pre_mature,2
55,18,F,rural,secondary,1,rented,single,0
56,68,F,rural,secondary,3,rented,mature,2
57,73,M,urban,technical,3,other,mature,2
58,59,F,rural,secondary,3,rented,pre_mature,2
59,74,F,urban,primary,6,owned,mature,5
60,30,F,urban,primary,7,family,young_family,6
61,53,F,rural,technical,3,family,senior_family,2
62,61,F,rural,none,5,owned,pre_mature,4
63,37,F,rural,university,4,rented,mid_family,3
64,30,F,urban,secondary,2,rented,young_family,1
65,39,M,urban,university,1,rented,mid_family,0
66,18,M,urban,technical,4,rented,single,3
67,47,M,urban,technical,1,rented,senior_family,0
68,26,F,urban,university,7,family,young_family,6
69,35,F,urban,primary,4,rented,mid_family,3
70,73,M,urban,technical,3,other,mature,2
71,21,F,urban,secondary,4,rented,single,3
